Branch Path,Variable,Scenario,Method,Units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,DIFFERS_FROM_BAU
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Process Efficiency,Updated Utility Protection,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Salvage Value,Updated BAU GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Salvage Value,Updated LMI GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Salvage Value,Updated Pro Solar,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Salvage Value,Updated Utility Protection,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Stranded Cost,Updated BAU GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Stranded Cost,Updated LMI GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Stranded Cost,Updated Pro Solar,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Stranded Cost,Updated Utility Protection,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Variable OM Cost,Updated BAU GHS,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Variable OM Cost,Updated LMI GHS,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Variable OM Cost,Updated Pro Solar,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Variable OM Cost,Updated Utility Protection,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Feedstock Fuel Share,Updated BAU GHS,Interp,U.S. Dollar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Feedstock Fuel Share,Updated LMI GHS,Interp,U.S. Dollar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Feedstock Fuel Share,Updated Pro Solar,Interp,U.S. Dollar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Feedstock Fuel Share,Updated Utility Protection,Interp,U.S. Dollar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Fuel Cost,Updated BAU GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Fuel Cost,Updated LMI GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Fuel Cost,Updated Pro Solar,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar\Feedstock Fuels\Solar,Fuel Cost,Updated Utility Protection,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capacity Credit,Updated BAU GHS,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capacity Credit,Updated LMI GHS,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capacity Credit,Updated Pro Solar,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capacity Credit,Updated Utility Protection,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capital Cost,Updated BAU GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capital Cost,Updated LMI GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capital Cost,Updated Pro Solar,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Capital Cost,Updated Utility Protection,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Dispatch Rule,Updated BAU GHS,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Dispatch Rule,Updated LMI GHS,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Dispatch Rule,Updated Pro Solar,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Dispatch Rule,Updated Utility Protection,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Endogenous Capacity,Updated BAU GHS,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Endogenous Capacity,Updated LMI GHS,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Endogenous Capacity,Updated Pro Solar,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Endogenous Capacity,Updated Utility Protection,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Exogenous Capacity,Updated BAU GHS,Interp,Megawatt,0,0,0,0,0,0,0,57,86,114,143,171,200,240,280,320,360,400,440,480,520,560,600,600,600,600,600,600,600,600,600,600,600,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Exogenous Capacity,Updated LMI GHS,Interp,Megawatt,0,0,0,0,0,0,0,57,86,114,143,171,200,240,280,320,360,400,440,480,520,560,600,600,600,600,600,600,600,600,600,600,600,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Exogenous Capacity,Updated Pro Solar,Interp,Megawatt,0,0,0,0,0,0,0,57,86,114,143,171,200,240,280,320,360,400,440,480,520,560,600,600,600,600,600,600,600,600,600,600,600,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Exogenous Capacity,Updated Utility Protection,Interp,Megawatt,0,0,0,0,0,0,0,57,86,114,143,171,200,240,280,320,360,400,440,480,520,560,600,600,600,600,600,600,600,600,600,600,600,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,First Simulation Year,Updated BAU GHS,Interp,Years,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,First Simulation Year,Updated LMI GHS,Interp,Years,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,First Simulation Year,Updated Pro Solar,Interp,Years,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,First Simulation Year,Updated Utility Protection,Interp,Years,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Fixed OM Cost,Updated BAU GHS,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Fixed OM Cost,Updated LMI GHS,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Fixed OM Cost,Updated Pro Solar,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Wind,Fixed OM Cost,Updated Utility Protection,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
